Week,Category,Sub_Category,Metric,Text_Value,Country,Month,Product,Support,Confidence,Lift,Leverage,Conviction,Revenue,Quantity,Num_Transactions,Segment,Num_Customers,Avg_Spend,Priority,Expected_Impact,Recommendation
Week 2 - Cleaning,Transformation,Derived Columns,,"Revenue, Year, Month, Day, Hour added",,,,,,,,,,,,,,,,,
Week 2 - Cleaning,Transformation,Output Files,,"cleaned_purchase_data.csv, basket_format_data.csv",,,,,,,,,,,,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,2198,WHITE HANGING HEART T-LIGHT HOLDER,,,WHITE HANGING HEART T-LIGHT HOLDER,0.1124,,,,,,,2198,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,2061,JUMBO BAG RED RETROSPOT,,,JUMBO BAG RED RETROSPOT,0.1054,,,,,,,2061,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,1904,REGENCY CAKESTAND 3 TIER,,,REGENCY CAKESTAND 3 TIER,0.0973,,,,,,,1904,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,1655,PARTY BUNTING,,,PARTY BUNTING,0.0846,,,,,,,1655,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,1541,LUNCH BAG RED RETROSPOT,,,LUNCH BAG RED RETROSPOT,0.0788,,,,,,,1541,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,1431,ASSORTED COLOUR BIRD ORNAMENT,,,ASSORTED COLOUR BIRD ORNAMENT,0.0732,,,,,,,1431,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,1346,SET OF 3 CAKE TINS PANTRY DESIGN,,,SET OF 3 CAKE TINS PANTRY DESIGN,0.0688,,,,,,,1346,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,1279,PACK OF 72 RETROSPOT CAKE CASES,,,PACK OF 72 RETROSPOT CAKE CASES,0.0654,,,,,,,1279,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,1260,LUNCH BAG  BLACK SKULL.,,,LUNCH BAG  BLACK SKULL.,0.0644,,,,,,,1260,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,1232,NATURAL SLATE HEART CHALKBOARD,,,NATURAL SLATE HEART CHALKBOARD,0.063,,,,,,,1232,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,1211,JUMBO BAG PINK POLKADOT,,,JUMBO BAG PINK POLKADOT,0.0619,,,,,,,1211,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,1181,HEART OF WICKER SMALL,,,HEART OF WICKER SMALL,0.0604,,,,,,,1181,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,1178,JUMBO STORAGE BAG SUKI,,,JUMBO STORAGE BAG SUKI,0.0602,,,,,,,1178,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,1166,JUMBO SHOPPER VINTAGE RED PAISLEY,,,JUMBO SHOPPER VINTAGE RED PAISLEY,0.0596,,,,,,,1166,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,1147,LUNCH BAG SPACEBOY DESIGN,,,LUNCH BAG SPACEBOY DESIGN,0.0586,,,,,,,1147,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,1143,PAPER CHAIN KIT 50'S CHRISTMAS,,,PAPER CHAIN KIT 50'S CHRISTMAS,0.0584,,,,,,,1143,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,1132,LUNCH BAG CARS BLUE,,,LUNCH BAG CARS BLUE,0.0579,,,,,,,1132,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,1116,JAM MAKING SET PRINTED,,,JAM MAKING SET PRINTED,0.0571,,,,,,,1116,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,1113,SPOTTY BUNTING,,,SPOTTY BUNTING,0.0569,,,,,,,1113,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,1092,WOODEN PICTURE FRAME WHITE FINISH,,,WOODEN PICTURE FRAME WHITE FINISH,0.0558,,,,,,,1092,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,1088,JAM MAKING SET WITH JARS,,,JAM MAKING SET WITH JARS,0.0556,,,,,,,1088,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,1079,RECIPE BOX PANTRY YELLOW DESIGN,,,RECIPE BOX PANTRY YELLOW DESIGN,0.0552,,,,,,,1079,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,1077,LUNCH BAG SUKI DESIGN,,,LUNCH BAG SUKI DESIGN,0.0551,,,,,,,1077,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,1073,LUNCH BAG PINK POLKADOT,,,LUNCH BAG PINK POLKADOT,0.0549,,,,,,,1073,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,1070,POSTAGE,,,POSTAGE,0.0547,,,,,,,1070,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,1052,SET OF 4 PANTRY JELLY MOULDS,,,SET OF 4 PANTRY JELLY MOULDS,0.0538,,,,,,,1052,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,1026,RED RETROSPOT CHARLOTTE BAG,,,RED RETROSPOT CHARLOTTE BAG,0.0525,,,,,,,1026,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,1027,ALARM CLOCK BAKELIKE RED,,,ALARM CLOCK BAKELIKE RED,0.0525,,,,,,,1027,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,1022,LUNCH BAG APPLE DESIGN,,,LUNCH BAG APPLE DESIGN,0.0523,,,,,,,1022,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,1022,VICTORIAN GLASS HANGING T-LIGHT,,,VICTORIAN GLASS HANGING T-LIGHT,0.0523,,,,,,,1022,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,1012,ROSES REGENCY TEACUP AND SAUCER,,,ROSES REGENCY TEACUP AND SAUCER,0.0517,,,,,,,1012,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,1003,LUNCH BAG WOODLAND,,,LUNCH BAG WOODLAND,0.0513,,,,,,,1003,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,979,RABBIT NIGHT LIGHT,,,RABBIT NIGHT LIGHT,0.0501,,,,,,,979,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,973,GREEN REGENCY TEACUP AND SAUCER,,,GREEN REGENCY TEACUP AND SAUCER,0.0497,,,,,,,973,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,967,ALARM CLOCK BAKELIKE GREEN,,,ALARM CLOCK BAKELIKE GREEN,0.0494,,,,,,,967,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,964,JUMBO BAG APPLES,,,JUMBO BAG APPLES,0.0493,,,,,,,964,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,964,SET/20 RED RETROSPOT PAPER NAPKINS,,,SET/20 RED RETROSPOT PAPER NAPKINS,0.0493,,,,,,,964,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,958,WOODEN FRAME ANTIQUE WHITE,,,WOODEN FRAME ANTIQUE WHITE,0.049,,,,,,,958,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,942,6 RIBBONS RUSTIC CHARM,,,6 RIBBONS RUSTIC CHARM,0.0482,,,,,,,942,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,937,RETROSPOT TEA SET CERAMIC 11 PC,,,RETROSPOT TEA SET CERAMIC 11 PC,0.0479,,,,,,,937,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,925,JUMBO  BAG BAROQUE BLACK WHITE,,,JUMBO  BAG BAROQUE BLACK WHITE,0.0473,,,,,,,925,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,917,HEART OF WICKER LARGE,,,HEART OF WICKER LARGE,0.0469,,,,,,,917,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,905,GARDENERS KNEELING PAD KEEP CALM,,,GARDENERS KNEELING PAD KEEP CALM,0.0463,,,,,,,905,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,898,BAKING SET 9 PIECE RETROSPOT,,,BAKING SET 9 PIECE RETROSPOT,0.0459,,,,,,,898,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,884,SPACEBOY LUNCH BOX,,,SPACEBOY LUNCH BOX,0.0452,,,,,,,884,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,885,JUMBO BAG ALPHABET,,,JUMBO BAG ALPHABET,0.0452,,,,,,,885,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,881,VINTAGE SNAP CARDS,,,VINTAGE SNAP CARDS,0.045,,,,,,,881,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,875,CHARLOTTE BAG SUKI DESIGN,,,CHARLOTTE BAG SUKI DESIGN,0.0447,,,,,,,875,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,870,REX CASH+CARRY JUMBO SHOPPER,,,REX CASH+CARRY JUMBO SHOPPER,0.0445,,,,,,,870,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,858,JUMBO BAG VINTAGE LEAF,,,JUMBO BAG VINTAGE LEAF,0.0439,,,,,,,858,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,857,SET/5 RED RETROSPOT LID GLASS BOWLS,,,SET/5 RED RETROSPOT LID GLASS BOWLS,0.0438,,,,,,,857,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,854,JUMBO BAG WOODLAND ANIMALS,,,JUMBO BAG WOODLAND ANIMALS,0.0437,,,,,,,854,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,854,JUMBO BAG PINK VINTAGE PAISLEY,,,JUMBO BAG PINK VINTAGE PAISLEY,0.0437,,,,,,,854,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,841,PACK OF 60 PINK PAISLEY CAKE CASES,,,PACK OF 60 PINK PAISLEY CAKE CASES,0.043,,,,,,,841,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,839,RED TOADSTOOL LED NIGHT LIGHT,,,RED TOADSTOOL LED NIGHT LIGHT,0.0429,,,,,,,839,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,836,CHOCOLATE HOT WATER BOTTLE,,,CHOCOLATE HOT WATER BOTTLE,0.0427,,,,,,,836,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,833,SET OF 3 REGENCY CAKE TINS,,,SET OF 3 REGENCY CAKE TINS,0.0426,,,,,,,833,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,830,DOLLY GIRL LUNCH BOX,,,DOLLY GIRL LUNCH BOX,0.0424,,,,,,,830,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,827,PLEASE ONE PERSON METAL SIGN,,,PLEASE ONE PERSON METAL SIGN,0.0423,,,,,,,827,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,825,WOODLAND CHARLOTTE BAG,,,WOODLAND CHARLOTTE BAG,0.0422,,,,,,,825,,,,,,
Week 3 - Apriori,Frequent Itemset,2-Itemset,819,"JUMBO BAG PINK POLKADOT, JUMBO BAG RED RETROSPOT",,,"JUMBO BAG PINK POLKADOT, JUMBO BAG RED RETROSPOT",0.0419,,,,,,,819,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,813,SET OF 6 SPICE TINS PANTRY DESIGN,,,SET OF 6 SPICE TINS PANTRY DESIGN,0.0416,,,,,,,813,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,812,JUMBO BAG STRAWBERRY,,,JUMBO BAG STRAWBERRY,0.0415,,,,,,,812,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,811,PAPER CHAIN KIT VINTAGE CHRISTMAS,,,PAPER CHAIN KIT VINTAGE CHRISTMAS,0.0415,,,,,,,811,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,798,60 TEATIME FAIRY CAKE CASES,,,60 TEATIME FAIRY CAKE CASES,0.0408,,,,,,,798,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,786,PAPER BUNTING RETROSPOT,,,PAPER BUNTING RETROSPOT,0.0402,,,,,,,786,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,777,POPCORN HOLDER,,,POPCORN HOLDER,0.0397,,,,,,,777,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,771,HOT WATER BOTTLE KEEP CALM,,,HOT WATER BOTTLE KEEP CALM,0.0394,,,,,,,771,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,764,HOME BUILDING BLOCK WORD,,,HOME BUILDING BLOCK WORD,0.0391,,,,,,,764,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,759,SCOTTIE DOG HOT WATER BOTTLE,,,SCOTTIE DOG HOT WATER BOTTLE,0.0388,,,,,,,759,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,759,ALARM CLOCK BAKELIKE PINK,,,ALARM CLOCK BAKELIKE PINK,0.0388,,,,,,,759,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,754,GARDENERS KNEELING PAD CUP OF TEA,,,GARDENERS KNEELING PAD CUP OF TEA,0.0386,,,,,,,754,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,750,CLOTHES PEGS RETROSPOT PACK 24,,,CLOTHES PEGS RETROSPOT PACK 24,0.0383,,,,,,,750,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,744,GIN + TONIC DIET METAL SIGN,,,GIN + TONIC DIET METAL SIGN,0.038,,,,,,,744,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,743,RECYCLING BAG RETROSPOT,,,RECYCLING BAG RETROSPOT,0.038,,,,,,,743,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,737,CHARLOTTE BAG PINK POLKADOT,,,CHARLOTTE BAG PINK POLKADOT,0.0377,,,,,,,737,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,735,PINK REGENCY TEACUP AND SAUCER,,,PINK REGENCY TEACUP AND SAUCER,0.0376,,,,,,,735,,,,,,
Week 3 - Apriori,Frequent Itemset,2-Itemset,730,"GREEN REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER",,,"GREEN REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER",0.0373,,,,,,,730,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,723,ROUND SNACK BOXES SET OF4 WOODLAND,,,ROUND SNACK BOXES SET OF4 WOODLAND,0.037,,,,,,,723,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,724,LUNCH BAG ALPHABET DESIGN,,,LUNCH BAG ALPHABET DESIGN,0.037,,,,,,,724,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,721,RED HANGING HEART T-LIGHT HOLDER,,,RED HANGING HEART T-LIGHT HOLDER,0.0369,,,,,,,721,,,,,,
Week 3 - Apriori,Frequent Itemset,2-Itemset,721,"JUMBO BAG RED RETROSPOT, JUMBO STORAGE BAG SUKI",,,"JUMBO BAG RED RETROSPOT, JUMBO STORAGE BAG SUKI",0.0369,,,,,,,721,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,720,DOORMAT KEEP CALM AND COME IN,,,DOORMAT KEEP CALM AND COME IN,0.0368,,,,,,,720,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,716,STRAWBERRY CHARLOTTE BAG,,,STRAWBERRY CHARLOTTE BAG,0.0366,,,,,,,716,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,709,JUMBO BAG 50'S CHRISTMAS,,,JUMBO BAG 50'S CHRISTMAS,0.0362,,,,,,,709,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,708,HANGING HEART JAR T-LIGHT HOLDER,,,HANGING HEART JAR T-LIGHT HOLDER,0.0362,,,,,,,708,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,706,DOTCOM POSTAGE,,,DOTCOM POSTAGE,0.0361,,,,,,,706,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,704,LUNCH BOX I LOVE LONDON,,,LUNCH BOX I LOVE LONDON,0.036,,,,,,,704,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,703,JUMBO STORAGE BAG SKULLS,,,JUMBO STORAGE BAG SKULLS,0.0359,,,,,,,703,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,700,COOK WITH WINE METAL SIGN,,,COOK WITH WINE METAL SIGN,0.0358,,,,,,,700,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,697,STRAWBERRY CERAMIC TRINKET BOX,,,STRAWBERRY CERAMIC TRINKET BOX,0.0356,,,,,,,697,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,697,JUMBO BAG VINTAGE DOILY,,,JUMBO BAG VINTAGE DOILY,0.0356,,,,,,,697,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,692,PLASTERS IN TIN WOODLAND ANIMALS,,,PLASTERS IN TIN WOODLAND ANIMALS,0.0354,,,,,,,692,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,680,JUMBO BAG SPACEBOY DESIGN,,,JUMBO BAG SPACEBOY DESIGN,0.0348,,,,,,,680,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,681,ANTIQUE SILVER T-LIGHT GLASS,,,ANTIQUE SILVER T-LIGHT GLASS,0.0348,,,,,,,681,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,681,DOORMAT RED RETROSPOT,,,DOORMAT RED RETROSPOT,0.0348,,,,,,,681,,,,,,
Week 3 - Apriori,Frequent Itemset,2-Itemset,676,"JUMBO BAG RED RETROSPOT, JUMBO SHOPPER VINTAGE RED PAISLEY",,,"JUMBO BAG RED RETROSPOT, JUMBO SHOPPER VINTAGE RED PAISLEY",0.0346,,,,,,,676,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,676,HAND OVER THE CHOCOLATE   SIGN,,,HAND OVER THE CHOCOLATE   SIGN,0.0346,,,,,,,676,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,672,SET OF 3 BUTTERFLY COOKIE CUTTERS,,,SET OF 3 BUTTERFLY COOKIE CUTTERS,0.0344,,,,,,,672,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,670,SET OF 3 HEART COOKIE CUTTERS,,,SET OF 3 HEART COOKIE CUTTERS,0.0343,,,,,,,670,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,671,IVORY KITCHEN SCALES,,,IVORY KITCHEN SCALES,0.0343,,,,,,,671,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,671,LUNCH BAG DOLLY GIRL DESIGN,,,LUNCH BAG DOLLY GIRL DESIGN,0.0343,,,,,,,671,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,671,GUMBALL COAT RACK,,,GUMBALL COAT RACK,0.0343,,,,,,,671,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,668,WOOD BLACK BOARD ANT WHITE FINISH,,,WOOD BLACK BOARD ANT WHITE FINISH,0.0342,,,,,,,668,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,665,PLASTERS IN TIN SPACEBOY,,,PLASTERS IN TIN SPACEBOY,0.034,,,,,,,665,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,663,BATHROOM METAL SIGN,,,BATHROOM METAL SIGN,0.0339,,,,,,,663,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,659,LUNCH BAG VINTAGE LEAF DESIGN,,,LUNCH BAG VINTAGE LEAF DESIGN,0.0337,,,,,,,659,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,656,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,,,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,0.0335,,,,,,,656,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,654,CHILLI LIGHTS,,,CHILLI LIGHTS,0.0334,,,,,,,654,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,652,PACK OF 72 SKULL CAKE CASES,,,PACK OF 72 SKULL CAKE CASES,0.0333,,,,,,,652,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,651,GINGERBREAD MAN COOKIE CUTTER,,,GINGERBREAD MAN COOKIE CUTTER,0.0333,,,,,,,651,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,649,HAND WARMER OWL DESIGN,,,HAND WARMER OWL DESIGN,0.0332,,,,,,,649,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,649,JUMBO BAG OWLS,,,JUMBO BAG OWLS,0.0332,,,,,,,649,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,644,PACK OF 20 NAPKINS PANTRY DESIGN,,,PACK OF 20 NAPKINS PANTRY DESIGN,0.0329,,,,,,,644,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,642,HOT WATER BOTTLE I AM SO POORLY,,,HOT WATER BOTTLE I AM SO POORLY,0.0328,,,,,,,642,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,640,RED  HARMONICA IN BOX,,,RED  HARMONICA IN BOX,0.0327,,,,,,,640,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,633,HOT WATER BOTTLE TEA AND SYMPATHY,,,HOT WATER BOTTLE TEA AND SYMPATHY,0.0324,,,,,,,633,,,,,,
Week 3 - Apriori,Frequent Itemset,2-Itemset,633,"ALARM CLOCK BAKELIKE GREEN, ALARM CLOCK BAKELIKE RED",,,"ALARM CLOCK BAKELIKE GREEN, ALARM CLOCK BAKELIKE RED",0.0324,,,,,,,633,,,,,,
Week 3 - Apriori,Frequent Itemset,2-Itemset,632,"LUNCH BAG  BLACK SKULL., LUNCH BAG RED RETROSPOT",,,"LUNCH BAG  BLACK SKULL., LUNCH BAG RED RETROSPOT",0.0323,,,,,,,632,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,628,HOMEMADE JAM SCENTED CANDLES,,,HOMEMADE JAM SCENTED CANDLES,0.0321,,,,,,,628,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,624,SMALL WHITE HEART OF WICKER,,,SMALL WHITE HEART OF WICKER,0.0319,,,,,,,624,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,619,LOVE BUILDING BLOCK WORD,,,LOVE BUILDING BLOCK WORD,0.0316,,,,,,,619,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,615,DOORMAT UNION FLAG,,,DOORMAT UNION FLAG,0.0314,,,,,,,615,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,609,RETROSPOT HEART HOT WATER BOTTLE,,,RETROSPOT HEART HOT WATER BOTTLE,0.0311,,,,,,,609,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,606,COLOUR GLASS T-LIGHT HOLDER HANGING,,,COLOUR GLASS T-LIGHT HOLDER HANGING,0.031,,,,,,,606,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,607,PINK CREAM FELT CRAFT TRINKET BOX,,,PINK CREAM FELT CRAFT TRINKET BOX,0.031,,,,,,,607,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,604,HOT BATHS METAL SIGN,,,HOT BATHS METAL SIGN,0.0309,,,,,,,604,,,,,,
Week 3 - Apriori,Frequent Itemset,2-Itemset,604,"GREEN REGENCY TEACUP AND SAUCER, PINK REGENCY TEACUP AND SAUCER",,,"GREEN REGENCY TEACUP AND SAUCER, PINK REGENCY TEACUP AND SAUCER",0.0309,,,,,,,604,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,604,TRADITIONAL KNITTING NANCY,,,TRADITIONAL KNITTING NANCY,0.0309,,,,,,,604,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,605,SET OF 60 PANTRY DESIGN CAKE CASES,,,SET OF 60 PANTRY DESIGN CAKE CASES,0.0309,,,,,,,605,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,601,PAPER CHAIN KIT RETROSPOT,,,PAPER CHAIN KIT RETROSPOT,0.0307,,,,,,,601,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,600,60 CAKE CASES VINTAGE CHRISTMAS,,,60 CAKE CASES VINTAGE CHRISTMAS,0.0307,,,,,,,600,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,594,VINTAGE HEADS AND TAILS CARD GAME,,,VINTAGE HEADS AND TAILS CARD GAME,0.0304,,,,,,,594,,,,,,
Week 3 - Apriori,Frequent Itemset,1-Itemset,592,72 SWEETHEART FAIRY CAKE CASES,,,72 SWEETHEART FAIRY CAKE CASES,0.0303,,,,,,,592,,,,,,
Week 3 - Apriori,Frequent Itemset,2-Itemset,593,"LUNCH BAG PINK POLKADOT, LUNCH BAG RED RETROSPOT",,,"LUNCH BAG PINK POLKADOT, LUNCH BAG RED RETROSPOT",0.0303,,,,,,,593,,,,,,
